Name,Position,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Aaron Mooy,Midfielder,96.0,9.0,17.0,49.0,,,201.0,63%,,37.0,76.0,96,26.0,,604,377,431,76.0,63.0,91.0,,0.0,6.0,"4,150",43.23,13.0,431,23%,10.0,206.0,10.0,1.0,65.0,3.0,0.0,6.0,3.0,2.0,0.09,2.0,1.0,105.0,29.0,28%,3.0,,,,,,,,
Aaron Ramsdale,Goalkeeper,97.0,0.0,31.0,54.0,21.0,145.0,,,,,,,,,,,,,,,0.0,3.0,1.0,"2,621",27.02,,,,,603,2.0,0.0,1.0,,,,,,,,,,,,,343.0,1.0,37.0,62.0,18.0,37.0,430.0,689
Aaron Ramsdale,Goalkeeper,97.0,0.0,31.0,54.0,21.0,145.0,,,,,,,,,,,,,,,0.0,3.0,1.0,"2,621",27.02,,,,,603.0,2.0,0.0,1.0,,,,,,,,,,,,,343.0,1.0,37.0,62.0,18.0,37.0,430.0,689.0
Aaron Wan-Bissaka,Defender,129.0,2.0,59.0,37.0,41.0,155.0,413.0,65%,1.0,10.0,256.0,312.0,142.0,2.0,714,801,505.0,193.0,131.0,141.0,0.0,0.0,11.0,"5,683",44.05,11.0,273.0,19%,3.0,115,18.0,1.0,90.0,5.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,
Abdallah Sima,Forward,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0,0.0,,,,,,,,,,0.0,0,0.0,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,
Abdoulaye Doucouré,Midfielder,176.0,21.0,58.0,85.0,,,327.0,58%,,73.0,195.0,208.0,85.0,,"1,340",783,854.0,165.0,211.0,207.0,,1.0,18.0,"8,751",49.72,19.0,86.0,17%,13.0,268,40.0,0.0,186.0,11.0,3.0,14.0,3.0,2.0,0.12,0.0,0.0,224.0,66.0,29%,12.0,,,,,,,,
Adam Armstrong,Forward,34.0,2.0,5.0,20.0,,,15.0,,,16.0,4.0,7,6.0,,,,,,,,,,3.0,304,8.94,3.0,25,,,,2.0,0.0,18.0,2.0,0.0,1.0,1.0,0.0,0.06,0.0,0.0,51.0,16.0,31%,5.0,,,,,,,,
Adam Webster,Defender,75.0,6.0,20.0,25.0,18.0,92.0,81.0,48%,1.0,7.0,108.0,235,128.0,0.0,396,384,233,41.0,229.0,130.0,1.0,1.0,1.0,"4,717",62.89,2.0,13,23%,4.0,271.0,12.0,0.0,51.0,1.0,4.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
Albert Sambi Lokonga,Midfielder,14.0,0.0,8.0,3.0,,,19.0,79%,,4.0,12.0,8,5.0,,63,43,32,3.0,10.0,16.0,,1.0,0.0,615,43.93,1.0,2,50%,6.0,26.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,6.0,38%,0.0,,,,,,,,
Albian Ajeti,Forward,9.0,0.0,0.0,7.0,,,1.0,,,2.0,0.0,0,0.0,,,,,,,,,,0.0,15,1.67,0.0,0,,,,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,3%,0.0,,,,,,,,
Alex Iwobi,Forward,171.0,14.0,77.0,59.0,,,144.0,,,60.0,69.0,54.0,22.0,,,,,,,,,,19.0,"4,795",28.04,29.0,235.0,,,,3.0,0.0,56.0,9.0,2.0,11.0,1.0,4.0,0.08,0.0,0.0,190.0,73.0,38%,14.0,,,,,,,,
Alex Telles,Defender,21.0,0.0,13.0,4.0,4.0,22.0,47.0,49%,0.0,3.0,29.0,39.0,29.0,0.0,103,96,89.0,5.0,36.0,32.0,0.0,0.0,3.0,957,45.57,2.0,123.0,24%,3.0,28,0.0,0.0,17.0,2.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
Allan,Midfielder,46.0,0.0,17.0,22.0,,,141.0,57%,,3.0,36.0,48.0,18.0,,352,253,280.0,50.0,14.0,24.0,,1.0,2.0,"1,903",41.37,0.0,13.0,31%,2.0,92,12.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,13.0,5.0,38%,0.0,,,,,,,,
Allan Saint-Maximin,Forward,75.0,11.0,25.0,29.0,,,39.0,,,40.0,23.0,7,1.0,,,,,,,,,,11.0,"1,327",17.69,19.0,105,,,,4.0,0.0,40.0,18.0,1.0,9.0,1.0,2.0,0.15,0.0,0.0,124.0,54.0,44%,10.0,,,,,,,,
Amad Diallo,Forward,3.0,0.0,1.0,1.0,,,3.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,1.0,63,21.0,1.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,100%,0.0,,,,,,,,
Andi Zeqiri,Forward,9.0,0.0,4.0,2.0,,,3.0,,,3.0,0.0,2.0,1.0,,,,,,,,,,0.0,38,4.22,0.0,6.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,2.0,29%,1.0,,,,,,,,
André Gomes,Midfielder,85.0,1.0,32.0,35.0,,,111.0,59%,,17.0,38.0,37,23.0,,470,361,534,106.0,81.0,64.0,,0.0,4.0,"3,170",37.29,4.0,57,26%,6.0,248.0,19.0,0.0,143.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,52.0,10.0,19%,2.0,,,,,,,,
Angeliño,Defender,6.0,0.0,4.0,2.0,0.0,7.0,5.0,40%,0.0,2.0,9.0,15.0,7.0,0.0,29,17,15.0,4.0,6.0,7.0,0.0,0.0,0.0,338,56.33,3.0,43.0,21%,0.0,7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Angus Gunn,Goalkeeper,29.0,0.0,7.0,15.0,6.0,61.0,,,,,,,,,,,,,,,0.0,3.0,0.0,706,24.34,,,,,163.0,0.0,0.0,0.0,,,,,,,,,,,,,90.0,2.0,7.0,8.0,5.0,16.0,83.0,230.0
Anthony Knockaert,Midfielder,72.0,5.0,16.0,36.0,,,79.0,68%,,26.0,56.0,19.0,8.0,,312,263,280.0,103.0,33.0,29.0,,0.0,7.0,"1,723",23.93,9.0,245.0,26%,6.0,83,8.0,2.0,49.0,11.0,0.0,1.0,4.0,2.0,0.07,0.0,0.0,81.0,22.0,27%,7.0,,,,,,,,
Antonee Robinson,Defender,28.0,0.0,4.0,13.0,4.0,27.0,45.0,62%,0.0,4.0,37.0,54.0,39.0,0.0,135,140,99.0,51.0,36.0,18.0,0.0,0.0,0.0,"1,047",37.39,4.0,101.0,27%,0.0,33,4.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Anwar El Ghazi,Midfielder,73.0,15.0,21.0,38.0,,,41.0,71%,,27.0,20.0,24,13.0,,164,219,333,59.0,69.0,121.0,,0.0,5.0,"1,114",15.26,6.0,208,25%,2.0,29.0,7.0,0.0,46.0,19.0,0.0,14.0,1.0,5.0,0.21,6.0,0.0,124.0,53.0,43%,11.0,,,,,,,,
Arnaut Danjuma,Forward,14.0,0.0,1.0,10.0,,,4.0,,,2.0,8.0,3,1.0,,,,,,,,,,0.0,221,15.79,0.0,9,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,13.0,4.0,31%,2.0,,,,,,,,
Ayoze Pérez,Forward,209.0,43.0,71.0,90.0,,,272.0,,,72.0,146.0,103,44.0,,,,,,,,,,16.0,"3,923",18.77,28.0,219,,,,11.0,1.0,213.0,53.0,6.0,31.0,6.0,7.0,0.21,1.0,0.0,310.0,131.0,42%,27.0,,,,,,,,
Bailey Peacock-Farrell,Goalkeeper,4.0,0.0,0.0,4.0,0.0,14.0,,,,,,,,,,,,,,,0.0,0.0,0.0,106,26.5,,,,,43.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0,0.0,1.0,0.0,0.0,2.0,6.0,29.0
Ben Chilwell,Defender,132.0,10.0,58.0,43.0,37.0,142.0,207.0,60%,1.0,21.0,145.0,322.0,181.0,1.0,683,807,674.0,130.0,306.0,233.0,0.0,1.0,15.0,"6,278",47.56,15.0,505.0,18%,8.0,193,13.0,1.0,114.0,18.0,0.0,2.0,8.0,2.0,,,,,,,,,,,,,,,
Ben Davies,Defender,236.0,6.0,113.0,70.0,61.0,238.0,444.0,69%,2.0,36.0,298.0,708.0,363.0,3.0,802,"1,099",962.0,83.0,403.0,399.0,0.0,1.0,17.0,"10,011",42.42,21.0,623.0,22%,6.0,365,30.0,0.0,193.0,8.0,0.0,1.0,5.0,3.0,,,,,,,,,,,,,,,
Ben Gibson,Defender,62.0,2.0,9.0,35.0,15.0,105.0,48.0,75%,3.0,5.0,83.0,345,184.0,1.0,224,196,154,22.0,105.0,102.0,0.0,0.0,1.0,"2,891",46.63,1.0,1,1%,0.0,235.0,8.0,1.0,32.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Ben Godfrey,Defender,78.0,0.0,21.0,43.0,15.0,129.0,112.0,65%,0.0,9.0,69.0,317.0,165.0,1.0,371,324,205.0,24.0,153.0,105.0,2.0,1.0,2.0,"3,389",43.45,2.0,20.0,35%,2.0,148,11.0,1.0,46.0,4.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
Ben Osborn,Midfielder,37.0,1.0,13.0,20.0,,,48.0,58%,,5.0,18.0,19,9.0,,138,110,120,23.0,19.0,26.0,,0.0,0.0,974,26.32,5.0,84,24%,2.0,28.0,1.0,0.0,19.0,5.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,12.0,5.0,42%,0.0,,,,,,,,
Ben White,Defender,59.0,0.0,24.0,18.0,22.0,66.0,77.0,51%,1.0,10.0,92.0,122,68.0,0.0,299,234,204,33.0,99.0,82.0,0.0,0.0,0.0,"2,965",50.25,2.0,22,5%,5.0,148.0,4.0,1.0,42.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bendegúz Bolla,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bertrand Traoré,Forward,52.0,9.0,17.0,24.0,,,37.0,,,32.0,17.0,15.0,5.0,,,,,,,,,,7.0,890,17.12,7.0,107.0,,,,1.0,0.0,34.0,14.0,0.0,2.0,7.0,2.0,0.17,0.0,0.0,85.0,29.0,34%,4.0,,,,,,,,
Björn Engels,Defender,17.0,1.0,3.0,12.0,2.0,32.0,11.0,55%,0.0,0.0,28.0,85.0,42.0,0.0,53,71,39.0,1.0,55.0,27.0,0.0,1.0,0.0,647,38.06,0.0,2.0,50%,0.0,49,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Boubakary Soumaré,Midfielder,17.0,0.0,6.0,6.0,,,18.0,72%,,0.0,13.0,17,11.0,,56,74,51,13.0,27.0,11.0,,0.0,1.0,488,28.71,0.0,2,2%,0.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,6.0,2.0,33%,0.0,,,,,,,,
Bruno Fernandes,Midfielder,78.0,35.0,41.0,13.0,,,116.0,52%,,67.0,48.0,69.0,39.0,,358,303,441.0,56.0,32.0,77.0,,0.0,25.0,"4,239",54.35,37.0,362.0,23%,40.0,268,15.0,0.0,80.0,7.0,2.0,30.0,3.0,8.0,0.45,13.0,1.0,230.0,90.0,39%,18.0,,,,,,,,
Bruno Guimarães,Midfielder,5.0,0.0,4.0,0.0,,,2.0,100%,,1.0,0.0,1,1.0,,11,7,6,2.0,1.0,1.0,,0.0,0.0,45,9.0,1.0,1,100%,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3%,0.0,,,,,,,,
Bruno Jordão,Midfielder,1.0,0.0,0.0,1.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,2,0,0.0,0.0,0.0,0.0,,0.0,0.0,6,6.0,0.0,0.0,0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,
Bryan Gil,Forward,9.0,0.0,4.0,4.0,,,3.0,,,0.0,0.0,0,0.0,,,,,,,,,,0.0,56,6.22,0.0,6,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,100%,0.0,,,,,,,,
Callum Robinson,Forward,48.0,6.0,7.0,25.0,,,14.0,,,9.0,14.0,11,9.0,,,,,,,,,,1.0,546,11.38,3.0,61,,,,1.0,0.0,14.0,10.0,0.0,4.0,2.0,2.0,0.12,0.0,0.0,44.0,15.0,34%,5.0,,,,,,,,
Callum Wilson,Forward,167.0,59.0,49.0,78.0,,,61.0,,,59.0,27.0,72.0,49.0,,,,,,,,,,17.0,"2,133",12.77,25.0,91.0,,,,19.0,0.0,239.0,128.0,11.0,36.0,10.0,8.0,0.35,10.0,0.0,297.0,121.0,41%,54.0,,,,,,,,
Chris Wood,Forward,161.0,50.0,50.0,68.0,,,47.0,,,47.0,8.0,89,65.0,,,,,,,,,,7.0,"2,649",16.45,11.0,39,,,,5.0,0.0,148.0,160.0,17.0,23.0,9.0,10.0,0.31,3.0,0.0,283.0,133.0,47%,61.0,,,,,,,,
Christian Eriksen,Midfielder,228.0,51.0,126.0,57.0,,,280.0,71%,,201.0,160.0,116,40.0,,"1,197",688,"1,039",181.0,107.0,187.0,,0.0,62.0,"11,778",51.66,73.0,"1,232",22%,116.0,551.0,18.0,0.0,99.0,7.0,1.0,28.0,21.0,18.0,0.22,0.0,8.0,585.0,213.0,36%,20.0,,,,,,,,
Christos Tzolis,Forward,11.0,0.0,2.0,7.0,,,5.0,,,3.0,1.0,1,0.0,,,,,,,,,,0.0,81,7.36,1.0,7,,,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,2.0,33%,0.0,,,,,,,,
Ché Adams,Forward,87.0,20.0,31.0,36.0,,,41.0,,,29.0,13.0,39,20.0,,,,,,,,,,9.0,"1,159",13.32,18.0,21,,,,1.0,0.0,69.0,35.0,2.0,17.0,1.0,2.0,0.23,0.0,0.0,128.0,60.0,47%,31.0,,,,,,,,
Connor Roberts,Defender,14.0,0.0,2.0,7.0,4.0,13.0,12.0,58%,0.0,0.0,16.0,37,14.0,0.0,57,49,21,4.0,13.0,14.0,0.0,0.0,1.0,406,29.0,0.0,28,14%,1.0,14.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Craig Dawson,Defender,229.0,19.0,72.0,96.0,52.0,305.0,296.0,72%,3.0,41.0,390.0,"1,029",607.0,5.0,920,"1,227",859,44.0,748.0,434.0,3.0,1.0,3.0,"7,076",30.9,7.0,301,21%,5.0,533.0,38.0,1.0,224.0,14.0,14.0,3.0,1.0,7.0,,,,,,,,,,,,,,,
Craig Dawson,Defender,229.0,19.0,72.0,96.0,52.0,305.0,296.0,72%,3.0,41.0,390.0,"1,029",607.0,5.0,920,"1,227",859,44.0,748.0,434.0,3.0,1.0,3.0,"7,076",30.9,7.0,301,21%,5.0,533.0,38.0,1.0,224.0,14.0,14.0,3.0,1.0,7.0,,,,,,,,,,,,,,,
Cristiano Ronaldo,Forward,219.0,93.0,143.0,34.0,,,74.0,,,181.0,42.0,84,27.0,,,,,,,,,,37.0,"4,139",18.9,5.0,438,,,,32.0,4.0,67.0,70.0,9.0,55.0,10.0,16.0,0.42,13.0,9.0,619.0,229.0,37%,13.0,,,,,,,,
Cédric Kipré,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Dale Stephens,Midfielder,108.0,1.0,25.0,52.0,,,276.0,62%,,19.0,176.0,154.0,90.0,,752,425,475.0,36.0,78.0,79.0,,0.0,5.0,"4,961",45.94,4.0,6.0,17%,7.0,392,22.0,1.0,149.0,0.0,0.0,0.0,1.0,1.0,0.01,0.0,0.0,54.0,5.0,9%,0.0,,,,,,,,
Dan Burn,Defender,87.0,2.0,24.0,30.0,20.0,102.0,149.0,58%,0.0,10.0,111.0,343,221.0,2.0,357,504,365,31.0,305.0,138.0,1.0,0.0,0.0,"3,670",42.18,4.0,89,19%,3.0,120.0,16.0,0.0,89.0,8.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
Daniel Adshead,Midfielder,0.0,0.0,0.0,0.0,,,0.0,0%,,0.0,0.0,0,0.0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,
Daniel James,Midfielder,73.0,10.0,31.0,21.0,,,54.0,56%,,31.0,14.0,17.0,5.0,,197,225,322.0,56.0,25.0,82.0,,0.0,9.0,"1,352",18.52,12.0,171.0,13%,4.0,19,11.0,0.0,47.0,16.0,2.0,7.0,1.0,1.0,0.14,0.0,0.0,105.0,40.0,38%,8.0,,,,,,,,
Daniel James,Midfielder,73.0,10.0,31.0,21.0,,,54.0,56%,,31.0,14.0,17,5.0,,197,225,322,56.0,25.0,82.0,,0.0,9.0,"1,352",18.52,12.0,171,13%,4.0,19.0,11.0,0.0,47.0,16.0,2.0,7.0,1.0,1.0,0.14,0.0,0.0,105.0,40.0,38%,8.0,,,,,,,,
Daniel Podence,Midfielder,54.0,5.0,25.0,18.0,,,26.0,58%,,26.0,22.0,3.0,1.0,,155,160,192.0,69.0,9.0,31.0,,0.0,4.0,"1,116",20.67,11.0,79.0,23%,11.0,64,5.0,0.0,24.0,9.0,1.0,3.0,1.0,2.0,0.09,0.0,0.0,68.0,29.0,43%,0.0,,,,,,,,
Danny Ings,Forward,160.0,60.0,51.0,69.0,,,145.0,,,85.0,45.0,78,48.0,,,,,,,,,,17.0,"2,662",16.64,18.0,121,,,,14.0,0.0,120.0,66.0,9.0,35.0,15.0,12.0,0.38,8.0,0.0,347.0,142.0,41%,33.0,,,,,,,,
Darren Randolph,Goalkeeper,34.0,0.0,12.0,15.0,7.0,61.0,,,,,,,,,,,,,,,0.0,5.0,0.0,900,26.47,,,,,324.0,1.0,0.0,0.0,,,,,,,,,,,,,91.0,1.0,9.0,33.0,8.0,16.0,102.0,285.0
David Button,Goalkeeper,5.0,0.0,2.0,2.0,1.0,7.0,,,,,,,,,,,,,,,0.0,0.0,0.0,135,27.0,,,,,36.0,0.0,0.0,0.0,,,,,,,,,,,,,18.0,0.0,4.0,2.0,1.0,1.0,10.0,46.0
David Luiz,Defender,213.0,14.0,120.0,45.0,67.0,191.0,252.0,74%,5.0,64.0,360.0,881.0,472.0,2.0,"1,106",900,711.0,83.0,379.0,270.0,1.0,4.0,7.0,"11,161",52.4,23.0,76.0,25%,82.0,"1,051",41.0,4.0,227.0,6.0,7.0,6.0,1.0,6.0,,,,,,,,,,,,,,,
Demarai Gray,Forward,154.0,15.0,58.0,63.0,,,96.0,,,63.0,49.0,49,12.0,,,,,,,,,,11.0,"2,348",15.25,16.0,348,,,,10.0,0.0,47.0,14.0,0.0,10.0,4.0,3.0,0.1,0.0,0.0,181.0,61.0,34%,9.0,,,,,,,,
